S0,age_group,A0,c,s,f,S0_c,S0_s,A0_s,S6
56,1,68,2,2,5,112,112,136,42.673767039085774
63,1,56,2,2,4,126,126,112,45.52915357036274
59,5,51,2,1,6,118,59,51,53.6735406603834
56,1,33,2,1,7,112,56,33,40.07855773338044
62,3,57,1,1,5,62,62,57,58.99231470397614
62,2,45,3,2,8,186,124,90,36.995687240203075
61,2,37,2,1,2,122,61,37,53.30255011049735
58,2,63,1,3,2,58,174,189,37.97794513739569
56,4,44,3,1,10,168,56,44,31.989838272804104
61,2,49,2,1,9,122,61,49,43.581832281079144
56,2,51,3,1,2,168,56,51,45.552218301014655
60,2,58,2,2,5,120,120,116,42.93681834269252
57,1,50,3,1,1,171,57,50,50.16846373833787
62,3,54,3,2,8,186,124,108,32.11569043080934
58,3,54,1,2,3,58,116,108,40.96544569540863
62,2,68,2,1,5,124,62,68,53.394557919712845
57,1,58,3,1,3,171,57,58,47.078308715228566
62,4,40,3,2,4,186,124,80,44.147907566249394
65,4,48,2,2,1,130,130,96,45.39954293539966
63,3,57,3,1,7,189,63,57,50.221194005174645
57,1,50,2,1,4,114,57,50,57.0
60,4,42,3,2,1,180,120,84,39.43803846490488
60,2,46,2,2,7,120,120,92,35.49041767229637
58,1,60,1,2,9,58,116,120,32.686850603493845
60,2,41,2,2,1,120,120,82,44.336642066575806
64,4,30,3,1,7,192,64,30,46.57370094737468
63,1,51,1,2,2,63,126,102,47.0118369782802
64,5,49,3,1,7,192,64,49,44.07827291665453
58,2,64,1,3,9,58,174,192,20.73074113065305
57,2,41,3,1,9,171,57,41,33.04676786985651
62,5,46,1,1,1,62,62,46,56.130309895023146
56,1,51,3,1,4,168,56,51,48.131412884957214
63,2,56,2,2,5,126,126,112,44.91877411290463
59,4,46,2,2,2,118,118,92,45.21056380039889
59,4,46,1,1,9,59,59,46,40.28323576089052
64,2,49,2,1,7,128,64,49,47.72183200589528
61,3,50,2,1,2,122,61,50,49.53036743166411
58,3,54,1,2,8,58,116,108,35.3924749860833
59,4,42,3,1,3,177,59,42,53.854006587360026
57,3,30,3,1,10,171,57,30,36.50136542948119
58,5,40,1,1,4,58,58,40,53.760685385139574
60,2,46,2,1,4,120,60,46,55.49124685111441
59,5,66,3,1,5,177,59,66,48.79704642559948
60,4,57,1,2,1,60,120,114,47.587914901091715
65,3,65,3,2,7,195,130,130,39.619064698238155
56,1,63,3,2,8,168,112,126,28.38169419760459
56,2,51,2,1,4,112,56,51,47.675537215628346
62,3,57,3,1,7,186,62,57,40.61009730150201
59,4,62,3,1,1,177,59,62,51.66262136350202
65,2,58,1,1,6,65,65,58,55.972020113209474
60,1,43,2,1,4,120,60,43,54.762265696084306
61,3,77,3,1,6,183,61,77,50.063683690905535
58,4,64,3,1,10,174,58,64,35.69224931360841
63,2,56,3,2,1,189,126,112,40.26516369572876
64,1,38,1,1,6,64,64,38,56.29909377883452
55,1,54,3,1,8,165,55,54,34.518870866251355
63,3,47,2,1,3,126,63,47,55.96350198261725
64,4,63,3,1,4,192,64,63,55.952544131544705
64,2,63,3,1,4,192,64,63,53.714518946815
57,2,61,1,1,1,57,57,61,57.0
56,2,51,2,1,5,112,56,51,51.601351896463676
64,2,51,1,2,10,64,128,102,34.0356403250567
55,3,51,3,2,10,165,110,102,30.56503008741922
59,5,65,3,1,7,177,59,65,50.230474933533294
62,2,64,1,2,8,62,124,128,40.08055181137863
56,3,55,2,2,3,112,112,110,37.17563798835088
55,2,56,3,1,5,165,55,56,48.110212817543946
63,5,47,2,1,8,126,63,47,49.16162966801773
58,3,50,1,2,5,58,116,100,44.79747736918691
64,1,59,1,2,9,64,128,118,36.365002511138655
61,1,62,3,3,4,183,183,186,37.95565360525624
56,3,54,1,1,3,56,56,54,56.0
61,4,74,3,2,3,183,122,148,40.96126932358119
56,1,64,1,2,7,56,112,128,33.44801456831489
57,4,56,3,2,6,171,114,112,36.75652994555783
61,4,54,1,1,4,61,61,54,56.46463260616342
63,1,51,2,1,7,126,63,51,51.46777311216202
62,5,61,2,1,1,124,62,61,48.847067620983736
56,2,44,3,2,10,168,112,88,24.460057411091896
62,3,58,1,2,5,62,124,116,51.82244486930233
59,1,42,3,2,4,177,118,84,32.58425616964304
61,4,55,3,1,4,183,61,55,48.41533281407193
63,1,35,2,1,10,126,63,35,46.26498791496534
58,2,64,3,1,3,174,58,64,46.26553617668424
58,1,60,2,2,4,116,116,120,37.420138119845575
58,4,38,2,1,8,116,58,38,40.11073471556065
61,4,55,1,1,10,61,61,55,43.04512331091059
56,2,51,3,2,1,168,112,102,36.784236019358545
57,1,50,1,2,2,57,114,100,41.74843810031056
64,5,49,3,1,10,192,64,49,37.26454001609028
59,5,74,2,1,5,118,59,74,52.725201661798685
63,4,56,1,1,2,63,63,56,63.0
62,3,57,1,1,7,62,62,57,54.406754030208305
55,1,42,3,2,7,165,110,84,33.85829289946619
60,4,37,3,1,3,180,60,37,48.11454427283414
60,5,41,2,1,5,120,60,41,57.37880980074632
59,3,61,2,1,4,118,59,61,58.30834155110696
59,4,44,1,1,1,59,59,44,56.8567840934369
56,1,68,1,1,7,56,56,68,48.10067402435081
56,3,52,1,1,3,56,56,52,50.73536203069372
61,1,57,1,1,3,61,61,57,58.88740703890652
59,3,61,2,2,4,118,118,122,40.77979847460473
63,1,56,2,2,1,126,126,112,41.178190526768674
56,4,44,3,1,2,168,56,44,45.44955532404859
57,3,30,2,1,9,114,57,30,44.49873998622649
57,3,30,3,1,9,171,57,30,33.90748215739018
63,1,35,2,1,1,126,63,35,61.03441995807199
55,2,53,3,1,9,165,55,53,40.354103556598595
60,5,35,2,1,3,120,60,35,51.106219839485334
63,1,65,1,3,6,63,189,195,33.59096491183674
61,3,43,3,2,4,183,122,86,43.47225717622706
59,4,42,2,2,6,118,118,84,41.03916540469602
61,2,35,1,1,2,61,61,35,60.344639301704234
60,4,37,3,1,7,180,60,37,44.79096662413726
63,1,65,3,2,8,189,126,130,32.241165174913974
64,1,59,3,2,9,192,128,118,30.64256710393606
58,2,49,2,1,9,116,58,49,42.49570127313737
57,4,50,2,2,5,114,114,100,41.589202839270044
60,5,48,1,1,10,60,60,48,46.90585183547537
58,1,42,2,2,4,116,116,84,48.302473985258196
59,4,46,3,1,4,177,59,46,55.38953471878299
55,3,28,1,1,7,55,55,28,44.942590500489885
58,2,64,1,1,9,58,58,64,39.03937740124879
59,4,61,3,2,1,177,118,122,48.354398696198935
57,5,47,3,1,4,171,57,47,42.30699824629811
61,4,45,3,2,7,183,122,90,34.71531095173345
58,2,49,2,1,10,116,58,49,33.324854866188886
62,4,44,3,2,8,186,124,88,28.46111658086726
60,5,52,1,1,7,60,60,52,49.083568152030786
59,1,42,3,1,7,177,59,42,40.77390658791326
62,4,42,3,1,5,186,62,42,49.07855484037748
59,2,50,2,1,7,118,59,50,43.5892495904347
61,1,62,2,2,7,122,122,124,39.507279828612326
62,4,52,2,1,2,124,62,52,51.45455174773546
57,1,58,2,1,9,114,57,58,43.353143148799546
61,4,43,2,2,5,122,122,86,45.42257348677721
60,5,52,3,1,1,180,60,52,60.0
63,3,60,2,2,2,126,126,120,34.971672552078374
58,4,39,3,1,1,174,58,39,49.20832798247085
59,3,65,3,2,3,177,118,130,41.1831992920461
56,1,51,1,1,5,56,56,51,54.98543582934558
61,2,45,1,2,8,61,122,90,39.34307113857928
64,3,64,2,1,2,128,64,64,49.399893171267934
62,2,37,2,1,6,124,62,37,51.22176685718923
58,1,45,3,2,1,174,116,90,37.495516950447325
61,4,43,2,2,8,122,122,86,29.69041940185065
58,1,43,2,1,2,116,58,43,43.70043648861432
60,1,63,1,2,5,60,120,126,47.77359590034794
55,1,40,2,2,8,110,110,80,30.363623388822962
59,2,58,2,1,8,118,59,58,41.192632662080236
56,2,51,3,1,1,168,56,51,43.8585655735569
57,3,37,2,1,1,114,57,37,53.18989601221393
65,2,48,3,2,9,195,130,96,34.24195232565728
56,3,52,3,2,1,168,112,104,39.04978876552968
58,4,64,2,1,10,116,58,64,33.708319029197035
61,3,43,1,1,6,61,61,43,58.18767199028811
57,1,58,3,1,10,171,57,58,31.94491008007363
58,2,63,2,1,3,116,58,63,54.81257368767177
61,3,43,3,1,2,183,61,43,51.05046803545832
56,5,52,3,1,3,168,56,52,42.56461821794998
55,3,51,3,1,3,165,55,51,48.76408466484912
63,2,56,2,1,6,126,63,56,54.536124874349746
65,2,58,2,2,3,130,130,116,55.61331410791769
55,3,51,3,1,4,165,55,51,45.155988967555224
56,4,42,2,1,8,112,56,42,39.06040119771212
61,4,48,3,1,5,183,61,48,50.957231377883836
58,2,64,3,3,2,174,174,192,30.961166156317876
62,4,50,2,2,9,124,124,100,36.81951989817297
58,3,43,3,2,7,174,116,86,34.26224770650322
60,2,58,3,2,7,180,120,116,29.93615773434666
59,1,51,1,1,4,59,59,51,50.54527409107239
60,5,41,1,1,6,60,60,41,47.28925494799543
59,4,47,3,1,3,177,59,47,48.90436997629059
55,2,54,2,2,5,110,110,108,38.05852132062352
58,4,64,1,2,5,58,116,128,41.71283651721099
57,2,47,3,1,2,171,57,47,45.461074323092944
63,1,51,1,1,4,63,63,51,57.243246621371206
62,4,50,2,2,8,124,124,100,36.1363449972223
55,2,53,2,2,7,110,110,106,34.71095216343506
60,1,43,1,1,4,60,60,43,56.86138727820651
60,4,42,2,2,10,120,120,84,30.170187840064255
55,1,31,1,1,7,55,55,31,44.30133874200596
59,4,61,2,1,8,118,59,61,48.76251892301745
64,3,32,1,1,7,64,64,32,55.6396048688087
63,1,59,1,2,7,63,126,118,51.21296550864588
61,3,61,3,1,7,183,61,61,51.547388785826776
58,4,64,3,1,10,174,58,64,36.4906795061871
58,2,45,1,1,4,58,58,45,57.81925228184634
60,2,58,2,1,10,120,60,58,38.520502294917854
60,5,56,1,1,8,60,60,56,40.52209725242635
57,3,61,3,2,1,171,114,122,43.312092469652015
56,3,52,3,1,10,168,56,52,36.73368291812599
62,5,61,3,1,5,186,62,61,52.60278085056053
63,5,54,3,1,9,189,63,54,43.345865254017056
57,2,41,3,1,7,171,57,41,40.765432425481116
56,4,57,2,2,5,112,112,114,37.90012276607621
63,1,51,1,1,10,63,63,51,41.18898027552572
59,3,33,1,1,5,59,59,33,58.26799415784504
64,4,55,2,2,2,128,128,110,46.01384507833634
64,4,63,3,1,10,192,64,63,39.72884902408192
64,5,51,1,1,8,64,64,51,51.454016778693926
56,1,68,3,2,3,168,112,136,39.5169305493395
64,2,51,1,1,9,64,64,51,46.7522151439106
59,4,62,1,1,1,59,59,62,51.959804612735674
61,2,55,3,2,8,183,122,110,38.825356042960664
61,1,42,1,1,7,61,61,42,43.636872516526886
56,3,52,2,1,1,112,56,52,50.40698022555872
59,1,42,1,2,9,59,118,84,40.34274423264486
59,1,42,2,1,8,118,59,42,42.16764311343712
64,2,49,1,2,7,64,128,98,42.11147995033298
58,3,53,3,2,8,174,116,106,31.57463671503888
62,3,51,3,1,1,186,62,51,52.130019630124494
59,5,74,3,1,5,177,59,74,50.79598542897624
58,1,60,1,1,9,58,58,60,44.25700893333408
56,4,55,3,1,3,168,56,55,48.81939026973624
65,1,47,1,2,3,65,130,94,50.80046396421254
59,1,51,2,1,9,118,59,51,39.61730802082206
63,3,60,3,2,3,189,126,120,40.661758397596635
63,1,51,1,1,5,63,63,51,54.81011085782407
57,1,44,1,2,1,57,114,88,38.90427257307006
65,2,58,1,1,7,65,65,58,56.68729969845821
64,2,48,3,1,3,192,64,48,51.82957287958212
59,5,49,2,1,9,118,59,49,38.58646684228899
65,2,58,2,2,8,130,130,116,37.60215555196382
58,1,59,3,2,5,174,116,118,40.71728922446779
63,3,60,2,1,4,126,63,60,57.5944816346041
63,1,35,3,1,4,189,63,35,50.718740501219976
